GENERATION_DISTRIBUTION
Note!!! Please add ' at the beginning of generator ID as a special indicator of text type.
Unit Name,Unit ID, Type, Element Name, Ratio
El Centro CC2,'1,BUS,21647,0.280851
El Centro CC2,'1,BUS,21650,0.719149
El Centro CC3a,'1,BUS,21020,0.6184211
El Centro CC3a,'1,BUS,21649,0.381579
El Centro CC3b,'1,BUS,21021,0.6184211
El Centro CC3b,'1,BUS,21649,0.381579
El Centro CC4,'X0,BUS,21335,0.572193
El Centro CC4,'1,BUS,21648,0.427808
Eland 1 Battery Energy Storage,'1,BUS,26998,0.666667
Eland 1 Battery Energy Storage,'X1,BUS,86245,0.333333
Eland 2 Battery Energy Storage,'1,BUS,26988,0.666667
Eland 2 Battery Energy Storage,'X0,BUS,86244,0.333333
Eland Solar PV1,'1,BUS,26980,0.5
Eland Solar PV1,'1,BUS,26984,0.5
Elk Hills CC1a,'1,BUS,35076,0.6364428
Elk Hills CC1a,'1,BUS,35078,0.3635572
Elk Hills CC1b,'1,BUS,35077,0.6364428
Elk Hills CC1b,'1,BUS,35078,0.3635572
ElSegndCogCC3-Total,'2,BUS,29009,0.154309
ElSegndCogCC3-Total,'1,BUS,29009,0.845691
ElSegndEnrgCC1-Total,'8,BUS,29901,0.1353251
ElSegndEnrgCC1-Total,'7,BUS,29902,0.3646749
ElSegndEnrgCC1-Total,'6,BUS,29903,0.1353251
ElSegndEnrgCC1-Total,'5,BUS,29904,0.3646749
ElSegndEnrgCC2-Total,'8,BUS,29901,0.1353251
ElSegndEnrgCC2-Total,'7,BUS,29902,0.3646749
ElSegndEnrgCC2-Total,'6,BUS,29903,0.1353251
ElSegndEnrgCC2-Total,'5,BUS,29904,0.3646749
EncogenCC-Total,'1,BUS,42011,0.216437
EncogenCC-Total,'2,BUS,42012,0.216437
EncogenCC-Total,'3,BUS,42013,0.216437
EncogenCC-Total,'L,BUS,42014,0.35069
FerndaleCC-Total,'1,BUS,42031,0.304463
FerndaleCC-Total,'2,BUS,42032,0.304463
FerndaleCC-Total,'L,BUS,42033,0.391074
Five Points Solar Station,'2,BUS,34353,0.333333
Five Points Solar Station,'1,BUS,34353,0.666667
Foote Creek 1-4,'1,BUS,65583,1
Fort St Vrain CC1a,'G2,BUS,70406,0.5651359
Fort St Vrain CC1a,'ST,BUS,70409,0.4348641
Fort St Vrain CC1b,'G3,BUS,70407,0.5741166
Fort St Vrain CC1b,'ST,BUS,70409,0.4258834
Fort St Vrain CC1c,'G4,BUS,70408,0.5741166
Fort St Vrain CC1c,'ST,BUS,70409,0.4258834
Forty Mile Granlea WAGF,'G1,BUS,561994,0.5
Forty Mile Granlea WAGF,'G2,BUS,562994,0.5
FosterWhlrCC-Total,'3,BUS,33151,0.275591
FosterWhlrCC-Total,'2,BUS,33151,0.362205
FosterWhlrCC-Total,'1,BUS,33151,0.362205
FredericksonCC-Total,'1,BUS,47576,0.35
FredericksonCC-Total,'1,BUS,47577,0.65
FresnoCogenCC-Total,'2,BUS,34608,0.1623534
FresnoCogenCC-Total,'4,BUS,34608,0.8376467
Front Range CC1a,'ST,BUS,78515,0.4325144
Front Range CC1a,'G1,BUS,78517,0.5674856
